0       0       0       0       0       0       0       0
1       0       0       0       0       0       0       0
2       0       0       0       0       0       0       0
3       0       0       0       0       0       0       0
4       1       0       0       0       0       0       0
5       6       2       0       0       0       0       0
6       10      5       0       0       0       0       0
7       19      7       3       1       0       0       0
8       28     27      23      17      13       7       1
9       35     33      29      27      13      11       4
10      70     63      52      43      27      17      12

